D_Dbuild,D_StructureSystem_RC,D_StructureSystem_Precast_Concrete,D_StructureSystem_Steel,D_StructureSystem_Reinfored_Brick,D_StructureSystem_Brick_Wall,D_StructureSystem_Brick_wall_with_Wooden_pillar,D_StructureSystem_Wood_or_Synthetic_Resins,D_StructureSystem_SRC,D_StructureSystem_NaN,D_structure_6,D_structure_5,D_structure_4,D_structure_3,D_structure_2,D_structure_1,D_floor,D_floorTA,D_floorTAGround,D_1floorCorridorCol,D_1floorCorridorColA,D_1floorClassCol,D_1floorClassColA,D_1floorInsideCol,D_1floorInsideColA,D_X4brickwall,D_X3brickwall,D_YRCwallA,D_Y4brickwall,D_Y3brickwall,D_basintype,D_475Acc,D_I,D_Demand,D_Tx,D_Ty,D_sds,D_sd1,D_td0,D_sms,D_sm1,D_tm0,D_windows,D_patitionwall,D_nonstructure,D_CLlarge,D_CLsmall,D_MaxCl,D_NeutralDepth,D_Ra_Capacity,D_Ra_CDR,Total_Height,Total_DeadLoad,Total_LiveLoad,Total_Floor,Avg_Confc,Avg_MBfy,Avg_stify,D_isR
1991.0,0.0,0.0,0.0,1,-40831.16219507813,0.0,0,0.0,0.0,0.0,0.0,1.0,,,0.0,-797068.5129428403,52.59795406989781,0.0,2988289.979325878,0.0,20.0,20000.0,4.0,4000.0,0.0,25920.0,-64021.424500427296,-2100365.370404176,0.0,2.0,,,0.28,,-99.01783022704846,0.7,0.5293488500140429,0.74,,,,1.0,1.0,0.0,0.0,4,0.15,4.3,,,7.2,4433663.507701559,148092.0,493.64,178.10962168997565,2814.286105138194,2800.0,1
1985.0,0.0,,0.0,0,-99314.719962103,0.0,0,0.0,,,,0.0,1.0,0,0.0,2.0,4119.764289605412,,20.0,40500.0,110.0,221300.0,0.0,0.0,255600.0,0.0,150585.26634935703,3678989.632489578,0.0,4.0,-27224.786187412923,1.25,,0.43,-73.07772083745155,0.6,0.9573230954413798,1.6,,,,1.0,1.0,0.0,0.0,3,,,,,11.25,9717186.447140928,973813.0,,152.7398040967959,2906.0554571419034,2800.0,1
24206651.138661303,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,-51172.01132471356,0.0,1.0,0.0,0,0.0,,583961555.6264372,,,0.0,22.0,39600.0,3.0,2880.0,0.0,0.0,85504.97373461144,-63155.0182683902,0.0,,0.31,1.25,,0.24,-25.13540811588376,,,,,,,1.0,1.0,,0.0,,,,,,8.05,3580380147076.6113,,,,2887.8576399716108,2800.0,1
1996.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,-189917.47351412874,0.0,0.0,1.0,0.0,0,0.0,3.0,1998.338202155075,185.0,0.0,0.0,,37800.0,0.0,0.0,0.0,0.0,-37522.80444325495,2418072.2194652306,0.0,4.0,0.24,1.25,,0.55,24.286954733185656,,0.7351349261669259,1.3,,,,1.0,1.0,0.0,14.0,1,,6.3,,,18.0,796690.0052291546,199375.0,834.5,252.962336474734,2751.5507860021735,2800.0,1
2002.0,940110.59708697,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,0.0,3.0,1693.6137761582056,0.0,6.0,14400.0,6.0,16200.0,10.0,13750.0,7920.0,18816.0,116576.28142884251,-1101581.6760485051,9600.0,2.0,0.22,1.25,0.22,0.32,97.46147228189946,0.55,0.4564286072318424,,,,-189497.716886811,1.0,1.0,,0.0,3,,4.2,,,9.15,844904.3902224777,121880.0,609.4,169.56237424200185,2789.821149193346,2800.0,0
2000.0,0.0,,0.0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,3.0,,,-9131654.114950178,0.0,30.0,,0.0,0.0,-63132585579.85159,0.0,47266.3998851646,1306043.4089117665,,4.0,0.24,1.25,,-226385.59686845596,-76.9502370856888,0.6,0.45946700753497927,0.85,,,,,1.0,0.0,,7,,,,,14.4,-2383668.659026441,827268.0,3000.22,,2616.325038930081,2800.0,1
1981.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,,0.0,0.0,-643159.6319809154,-301689.58751589357,0,0.0,6.0,5732.269512590876,,14.0,9154720902.805841,,196200.0,0.0,0.0,0.0,0.0,68055.03606565399,1851454.9335521786,0.0,-69898.17869042458,,1.25,,,34.93694492350127,,,,,,,2.0,2.0,,4.0,4,,,,,26.6,12008511.242126543,1027620.0,6850.8,-27.803572708200107,4159.615681517748,2800.0,0
1953.0,1.0,0.0,-16445.251732565812,0,0.0,,0,0.0,0.0,0.0,,1.0,0.0,,0.0,2.0,877.5630820713044,0.0,0.0,0.0,10.0,20000.0,19.0,38000.0,275500.0,0.0,-33140.51974950159,,0.0,459894.18293995556,0.36,1.25,0.36,0.22,66.94439712419239,0.91,0.852791120948119,0.89,,,,1.0,1.0,,0.0,2,0.03,2.6,,,7.2,5482309.768982923,278325.0,,136.5792351948595,2920.281348399279,2800.0,1
1934.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,,1.0,0.0,0.0,0.0,0,-468796.07222632726,3.0,,,0.0,0.0,,33500.0,5.0,12000.0,0.0,112896.0,119983.23582590255,,639861956870.7958,3.0,0.31,1.25,0.39,0.43,87515974.73208693,,,,,,,2.0,1.0,2.0,0.0,4,10013615.136106297,5940773.785828825,,,15.7,,396060.0,1320.2,102.86411930651397,,2800.0,1
2012.0,0.0,0.0,72787.9309508541,0,0.0,0.0,0,0.0,1.0,0.0,0.0,,0.0,0,,-485475.1785089781,1533.4949101219465,,0.0,0.0,25.0,41825.0,0.0,,0.0,0.0,111051.57896680286,-511239.29755217535,0.0,4.0,0.24,1.25,,0.29,-12.324512781465437,0.6,0.681719428665378,1.05,,,,1.0,1.0,1.0,0.0,4,,,,,10.5,-3223395.724550017,219150.0,1461.0,-35.34018245771367,2676.5358998054435,2800.0,1
