D_floorTAGround,D_Demand,D_MaxCl,D_NeutralDepth,D_sd1,D_td0,D_sds,D_patitionwall,D_nonstructure,D_Ty,D_windows,D_Tx,D_I,D_475Acc,D_basintype,D_CLlarge,D_CLsmall,Total_Height,Total_DeadLoad,Total_LiveLoad,Total_Floor,Avg_Confc,Avg_MBfy,Avg_stify,D_Dbuild,D_Y3brickwall,D_StructureSystem_RC,D_Y4brickwall,D_StructureSystem_Precast_Concrete,D_StructureSystem_Steel,D_StructureSystem_Reinfored_Brick,D_StructureSystem_Brick_Wall,D_StructureSystem_Brick_wall_with_Wooden_pillar,D_StructureSystem_Wood_or_Synthetic_Resins,D_StructureSystem_SRC,D_StructureSystem_NaN,D_structure_6,D_structure_5,D_structure_4,D_structure_3,D_structure_2,D_structure_1,D_floor,D_floorTA,D_1floorCorridorCol,D_1floorCorridorColA,D_1floorClassCol,D_1floorClassColA,D_1floorInsideCol,D_1floorInsideColA,D_X4brickwall,D_X3brickwall,D_YRCwallA,D_isR
0.0,0.28,0.15,4.3,0.5293488500140429,0.74,0.7,1.0,0.0,99.01783022704846,1.0,,,,2.0,0.0,4.0,7.2,4433663.507701559,148092.0,493.64,178.10962168997565,2814.286105138194,2800.0,1991.0,,0.0,2100365.370404176,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,20.0,20000.0,4.0,4000.0,,25920.0,64021.424500427296,1
,,,,0.9573230954413798,1.6,0.6,1.0,0.0,73.07772083745155,1.0,0.43,1.25,,4.0,0.0,3.0,11.25,9717186.447140928,973813.0,,152.7398040967959,2906.0554571419034,2800.0,1985.0,,0.0,3678989.632489578,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,2.0,4119.764289605412,20.0,40500.0,110.0,221300.0,0.0,,,,150585.26634935703,1
,,,,,,,1.0,,25.13540811588376,1.0,0.24,1.25,0.31,,0.0,,8.05,,,,,2887.8576399716108,2800.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,,,,,22.0,39600.0,3.0,2880.0,,,85504.97373461144,1
185.0,,,6.3,0.7351349261669259,1.3,,1.0,0.0,24.286954733185656,1.0,0.55,1.25,0.24,4.0,14.0,1.0,18.0,,199375.0,834.5,252.962336474734,2751.550786002173,2800.0,1996.0,,1.0,2418072.2194652306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1998.338202155075,0.0,,,37800.0,0.0,,,,37522.80444325495,1
0.0,0.22,,4.2,0.4564286072318424,,0.55,1.0,,97.46147228189946,1.0,0.32,1.25,0.22,2.0,0.0,3.0,9.15,,121880.0,609.4,169.56237424200185,2789.821149193346,2800.0,2002.0,9600.0,,1101581.6760485051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,1693.6137761582056,6.0,14400.0,6.0,,10.0,13750.0,7920.0,18816.0,116576.28142884251,0
,,,,0.4594670075349792,0.85,0.6,1.0,0.0,76.9502370856888,,,1.25,0.24,4.0,,7.0,14.4,2383668.659026441,827268.0,3000.22,,2616.325038930081,2800.0,2000.0,,0.0,1306043.4089117665,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,,,,30.0,,0.0,,,,47266.3998851646,1
,,,,,,,2.0,,34.93694492350127,2.0,,1.25,,,4.0,4.0,26.6,12008511.242126543,1027620.0,6850.8,27.803572708200107,4159.615681517748,2800.0,1981.0,,0.0,1851454.9335521783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,6.0,5732.269512590876,14.0,,,196200.0,0.0,,,,68055.03606565399,0
0.0,0.36,0.03,2.6,0.852791120948119,0.89,0.91,1.0,,66.94439712419239,1.0,0.22,1.25,0.36,,0.0,2.0,7.2,5482309.768982923,278325.0,,136.5792351948595,2920.281348399279,2800.0,1953.0,,1.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,2.0,877.5630820713044,0.0,,10.0,20000.0,,,,,33140.51974950159,1
,0.39,,,,,,1.0,2.0,,2.0,0.43,1.25,0.31,3.0,0.0,4.0,15.7,,396060.0,1320.2,102.86411930651396,,2800.0,1934.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,3.0,,0.0,,,33500.0,5.0,12000.0,,,119983.23582590256,1
,,,,0.681719428665378,1.05,0.6,1.0,1.0,12.324512781465437,1.0,0.29,1.25,0.24,4.0,0.0,4.0,10.5,3223395.724550017,219150.0,1461.0,35.34018245771367,2676.5358998054435,2800.0,2012.0,,0.0,511239.29755217535,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,,,1533.4949101219463,0.0,,25.0,41825.0,0.0,,,,111051.57896680286,1
